*bruski	browbeat
Adelilando	Adélie Land
Adelo	Adele
Adelstano	Aethelstan
Adena	Aden
Adena Golfo	Gulf of Aden
Adeno	Aden
Adis-Abebo	Addis Abeba
Adisabebo	Addis Ababa
Adisono	Addison
Adiĝo	Adige river
Adma	Adama
Admiraltoj	Admirality Islands / Admiralty Islands
Adolfo	Adolf
Adoniso	Adonis, Appolo
Adono	Adonis
Adria	Adriatic
Adria Maro	Adriatic Sea
Adriano	Adrian
Adrianopolo	Adrianople
Adriatika Maro	Adriatic, Adriatic Sea
Adriatiko	Adriatic, Adriatic Sea
Adulamano	Odollamite
Adventismo	Adventism
Adventisto	Adventist (religious denomination)
Advento	Advent
Aeropago	areopagus
Afaro	Sof Omar Caves of Ethiopia
Afganino	Afghan woman
Afganio	Afghanistan
Afganistano	Afghanistan
Afganlando	Afghanistan
Afgano	Afghan
Afganujo	Afghanistan
Afriko	Africa
Afrodita	Aphrodite
Afrodito	Aphrodite
Agago	Agag
Agamemno	Agamemnon
Agamemnono	Agamemnon
Agatoklo	Agathocles
Agejno	Again River
Agenoro	Agenor
Agesilauso	Agesilaus
Aglo	Aquila
Agneso	Agnes
Agnio	Agni, Hindu god of fire
Agnuso	Agnus Dei
Agrao	Agra
Agripino	Agrippina
Agripo	Agrippa
Ahasvero	Ahasuerus, the Wandering Jew
Ahazio	Ahaziah
Ahazo	Ahaz
Ahijaho	Ahijah
Ahimeleĥo	Ahimelech
Ahitofelo	Ahithophel
Ahmedo	Achmed
Ahuramazdo	Ahura-Mazda
Aino	Ainu
Aja	Aia
Ajaco	Ajax
Ajaio	Aeaea
Ajakso	Ajax
Ajitiso	Aeetes
Ajmeo	Amy
Ajnsvorto	Ainsworth
Ajro	Ayr
Ak-ano	academian, academist, academy member
Ak.	Akademio
Akad	Achad
Akadio	Acadia
Akado	Accad
Akadujo	Acadia
Akajo	Achaea
Akan	Acan
Akemeno	Achaemenes
Akeno	Aix-la-Chapelle / Aachen
Akermana funkcio	Ackermann function
Akerono	Acheron
Akerso	Akers
Akila	Achilles’
Akilo	Achilles
Akropolo	Acropolis
Aksa	el-Aqsa-mosque
Aktio	Actium
Aktivaj Servil-Paĝoj	Active Server Pages
Akvilono	Aquilon
Akvitanio	Aquitaine
Akvitanujo	Aquitaine
Al la afero!	To business!
Alabamo	Alabama, Alabama River
Aladeno	Aladdin
Aladina kavo	Aladdin’s cave
Aladina lampo	Aladdin’s lamp
Alaho	Allah
Alandinsuloj	Aalands Islands / Ålands Islands
Alano	Allan
Alanponto	Bridge of Allan
Alaska Duoninsulo	Alaska Peninsula
Alaska Golfo	Gulf of Alaska
Alasko	Alaska
Albanio	Albania
Albanujo	Albania
Albertio	Alberta
Albertlago	Lake Albert
Alberto	Albert
Albino	Albin
Albiono	Albion
Albreĥto	Albert
Alcibiado	Alcibiades
Aldebarano	Aldebaran
Aldeburgo	Aldeburgh
Aldernejo	Alderney
Aleganoj	Alleghanys / Alleghenies
Aleksandrianismo	Alexandrianism
Aleksandriano	Alexandrian
Aleksandrio	Alexandria
Aleksandro	Alexander
Aleksandro la Granda	Alexander the Great
Aleksio	Alexis
Alekso	Alex, Alexei
Alepo	Aleppo
Aleutaj Insuloj	Aleutian Islands
Aleutoj	Aleutian Islands
Aleĉjo	Alex
Aleŭtoj	Aleutian Islands
Alfa Centaŭro	Alpha Centauri
Alfonso	Alphonse
Alfonzo	Alphonse, Alphonso
Alfredo	Alfred
Algolo	Algol
Algonkio	Algonqian
Alhambro	Alhambra
Aliancanoj	Allies
Alibabo	Ali Baba
Alicao	Alice
Alino	Aline
Alio	Ali
Alio-Babo	Ali Baba
Alipaŝo	Ali Pasha
Alisono	Allison, Alison
Alkaido	al-Qaida
Alkinoo	Alcinous
Almagesto	Almagest, Almagest
Almato	Almaty
Almo	Alma
Almodad	Elmodad
Alosto	Alost
Alosto[1]	Alost
Alpoj	Alps
Alsaco	Alsace, Elsass
Alsaco-Loreno	Alsace-Lorraine
Alt-klavo	Alt key
Alt-registrumo	Alt, Alt key
Alta Kanto	Canticles, Song of Solomon, Song of Songs
Altairo	Altair
Altaja lingvofamilio	Altai language family
Altajo	Altai, Altai Mountains
Altaro	Ara
Alumetlago	Allumette Lake
Alvan	Alvan
Alvo	Alva
Alzaco	Alsace
Alĝerano	Algerian
Alĝerio	Algeria
Alĝerlando	Algeria
Alĝero	Algiers
Amadeo	Amadeus
Amalek	Amalech
Amalekido	Amalecite
Amaleko	Amalech
Amalio	Amalia, Amelia
Amano	Amman
Amarilo	Amarillo
Amasiaso	Amaziah
Amaso	Amasa
Amateraso	Amaterasu
Amazona Riverego	Amazon, Amazon River
Amazonbaseno	Amazon Basin
Amazonio	Amazonas
Amazono	Amazon
Amblarduo	Muir of Ord
Ambono	Amboina
Amerika Ekspreso	American Express (company)
Amerikano	American
Ameriko	America
Ameriko[1]	America
Amfiktiono	Amphictyon
Amfimedono	Amphimedon
Amfiono	Amphion
Amfipolo	Amphipolis
Amfitriono	Amphitryon
Amforo	Aquarius
Amirantoj	Amirants
Amnono	Amnon
Amonido	Ammonite
Amono	Ammon, Amon, Amun
Amorido	Amorrhite
Amoro	Amour, Cupid, Eros
Amrafel	Amraphel
Amramo	Amram
Amsterdamo	Amsterdam
Amudarjo	Amu Darya, Amudaryra, Oxus
Amuro	Amur
Anabelo	Annabel, Annabelle
Anako	Anak
Anakreono	Anacreon
Anaksagoro	Anaxagoras
Anaksimandro	Anaximander
Anaksimeno	Anaximenes
Anamido	Anamim
Anamo	Annam
Ananiaso	Ananias
Anao	anna
Anaso	Annas
Anastaziao	Anastasia
Anastazio	Anastasia
Anatolio	Anatolia, Asia Minor
Andaluzio	Andalusia
Andaluzujo	Andalusia
Andamanmaro	Andaman Sea
Andamanoj	Andaman Islands
Andoj	Andes
Andoro	Andorra
Andreaso	Andreas
Andreo	Andrew
Androklo	Androclus, Androcles
Andromedo	Andromeda
Androniko	Andronicus
Angaro	Angara
Angeliko	Angelica
Angelino	Angela
Angelo	Angelo
Anglio	England
Anglolando	England
Anglujo	England
Angolo	Angola
Anguro	Angora, Ankara
Angvilo	Anguilla
Ankaro	Ankara
Ankrenviso	Ancren Riwle
Annao	Ann
Anneto	Annette
Anno	Anne
Anselmo	Anselm
Antareso	Antares
Antarkta Oceano	Antarctic Ocean
Antarktika Oceano	Antartic Ocean / Antarctic Ocean
Antarktiko	Antarctic
Antarktio	Antarctic, Antarctica
Antarkto	Antarctic, the Antarctic
Antaro	Antares
Antaŭfasta Mardo	Shrove-Tuesday
Antigona	Antigone
Antigvo	Antigua
Antigvo kaj Barbudo	Antigua and Barbuda
Antikostio	Anticosti Island
Antiloj	Antilles
Antioĥio	Antioch
Antioĥujo	Antioch
Antipaso	Antipas
Antipatro	Antipater
Antipodoj	Antipodes, the Antipodes
Antoneno	Antoninus
Antonineto	Antoinette
Antonio	Antony
Antono	Anton
Antrimo	Antrim
Antverpeno	Antwerp
Anubo	Anubis
Anunciacio	Annunciation
Apalaĉoj	Appalachian Mountains
Apeninoj	Apennines
Apiso	Apis
Aplikadospecifa Integrita Cirkvito	Application Specific Integrated Circuit
Apokalipso	Apocalypse
Apokrifoj	Apocrypha
Apolo	Apollo
Apologia Insulo	Vindication Island
Apolonia	Apollonia
Apolonio	Apollonius
Apolono	Apollo
Apple-aparataro	Apple hardware
Apple-platformo	Apple platform
Apple-programaro	Apple software
Aprilo	April
Aprilstultulo	April fool
Apulio	Apulia
Araba Duoninsulo	Arabian Peninsula
Araba Maro	Arabian Sea
Arabia	Arabian, Arabic
Arabio	Arabia
Arabujo	Arabia
Arakano	Arakan
Arakna	Arachne
Arakno	Arachne
Arallago	Aral Sea
Aralo	Aral Sea, Lake Aral
Arano	Arran
Ararato	Ararat
Arbarlago	Lake of the Woods
Arbroto	Arbroath
Ardenoj	Ardennes
Ardgajo	Ardgay
Ardrio	Airdrie
Ardrosano	Ardrossan
Areopago	Areopagus
Areso	Ares
Argentino	Argentina
Argo	Argus
Argolando	Argus
Argonaŭto	Argonaut
Arguso	Argus
Ariadna	Ariadne
Ariadno	Ariadne
Arielo	Ariel
Arieso	Aries
Aristido	Aristides
Aristotelo	Aristotle
Aristoto	Aristotle
Arizono	Arizona
Arkadio	Arcadia
Arkadujo	Arcadia
Arkansaso	Arkansas
Arkimedo	Archimedes
Arklovo	Arklow
Arkta Circlo	Arctic Circle
Arkta Oceano	Arctic Ocean
Arktika Oceano	Arctic Ocean
Arktiko	Arctic, the Arctic
Arkto	Arctic, the Arctic
Arkturo	Arcturis
Armadalo	Armadale
Armagedono	Armageddon
Armando	Armand
Armaĥo	Armagh
Armena	Armenian
Armenio	Armenia
Armenujo	Armenia
Armoriko	Armorica
Arnaldo	Arnold
Arnhejmo	Arnhem
Arnhemo	Arnhem
Arnoldo	Arnold
Arono	Aaron
Artemisa	Artemis
Artemiso	Artemis
Artemo	Artemis, Phoebe
Arturo	Arthur
Arubo	Aruba
Arĉibaldo	Archibald
Arĥeozoiko	Archaeozoic, Archaeozoic era, Archeozoic, Archeozoic era
Arĥimedo	Archimedes
Asamo	Assam
Aseno	Assen
Asirio	Assyria
Asiro	Ashur, Assur
Asirujo	Assyria
Asizo	Assisi
Askia grafiko	ASCII art
Askia signaro	ASCII character set
Askio	ASCII
Asklepio	Asclepius
Asnato	Asenth
Astreo	Astraea
Asturio	Asturias
Asturujo	Asturias
Atabasko	Athabasca
Atabaskolago	Lake Athabasca
Ateno	Athena, Athens / Athene; Athens
Ateno[1]	Athena, Athene
Ateno[2]	Athens
Atenton!	Attention!
Atestanto de Jehovo	Jehovah’s Witness
Atiko	Attica
Atilo	Atilla
Atlantido	Atlantis
Atlantiko	Atlantic, Atlantic Ocean / Atlantic (Ocean)
Atlantio	Atlantis
Atlanto	Atlas
Atlantujo	Atlantis
Atlaso	Atlas
Atlono	Athlone
Atreĥto	Arras
Aventino	Aventine
Averno	Avernus
Aviceno	Avicenna
Avimoro	Aviemore
Azera	Azerbaijan
Azerbajĝana	Azerbaijan, Azerbaijani
Azerbajĝanano	Azerbaijani, Azeri
Azerbajĝano	Azerbaijan
Azerino	Azerbaijan woman
Azerio	Azerbaijan
Azero	Azerbaijani, Azeri
Azerujo	Azerbaijan
Azia	Asian, Asiatic
Azianino	Asian woman
Aziano	Asiatic, Asian
Azio	Asia
Azoika	Azoic
Azoiko	Azoic, Azoic era
Azova Maro	Sea of Azov
Azovmaro	Sea of Azov
Azovo	Azov
Azteka	Aztec
Azteko	Aztec
Aĝario	Adzharia
Aĝinkurto	Agincourt
Aĥabo	Ahab
Aĥajo	Achaea, Achaia
Aĥaŝveroŝ	Ahasuerus
Aĥaŝveroŝo	Ahasuerus, the Wandering Jew
Aĥemeno	Achaemenes
Aĥeno	Aix-la-Chapelle / Aachen
Aĥerono	Acheron
Aĥila	Achilles
Aĥilo	Achilles
Aĥmedo	Ahmed
Aĥnaŝino	Achnasheen
Aŝintono	Ashington
Aŝoko	King Ashoka (ruled northern India in the third century B.C.)
Aŭgia	Augean
Aŭgio	Augeas
Aŭgosto	August
Aŭgusteno	Augustine
Aŭgusto	Augustus
Aŭklando	Auckland
Aŭrelio	Aurelius
Aŭrignacio	Aurignacian Period
Aŭroro	Aurora
Aŭstrala Krono	Corona Australis
Aŭstralazio	Australasia
Aŭstraliano	Australian
Aŭstralio	Australia
Aŭstrio	Austria
Aŭstronezio	Austronesia
Aŭstrujo	Austria
Aŭteo	Great Barrier Island
B	si (music)
B-arbo	B-tree
B-splajno	B-spline
BEA	Brita Esperantista Asocio
Baalo	Baal
Babela turo	Tower of Babel
Babelo	Babel, Babylon
Babelturo	Tower of Babel
Babilonio	Babylonia
Babilono	Babel, Babylon
Badao	Bath
Baden-Virtembergo	Baden-Württemberg
Bafina Golfo	Baffin Bay
Bafina Insulo	Baffin Island
Bafingolfo	Baffin Bay
Bafinlando	Baffin Island
Bagavadgito	Bhagavad-Gita
Bagdado	Baghdad
Bahaa	Baha’i faith
Bahaano	member of the Baha’i faith
Bahaismo	Baha’iism, the Baha’i faith
Bahamoj	Bahama Islands, Bahamas / Bahaman Islands, Bahamas
Bahao	Bahá’í
Bahio	Bahia
Bajelo	Bailleul
Bajkallago	Lake Baikal
Bajkalo	Baikal
Bajramo	each of the two celebrations after Ramadan
Bajrono	Byron
Bajruto	Beirut, Beyrout, Beyrouth
Bakerinsulo	Baker Island
Bakko	Bacchus
Baktrio	Bactria, Bactriana
Bakuo	Baku
Bakĥanalio	Bacchanalia
Bakĥanino	Bacchanalian person
Bakĥano	Bacchanalian person
Bakĥantino	Bacchanalian woman
Bakĥanto	Bacchanalian person
Bakĥo	Bacchus
Bakĥofesto	Bacchanal party, celebration
Balatero	Ballater
Balaĥuliŝo	Ballachulish
Balduro	Bald, Balder
Balearaj Insuloj	Balearic Islands
Balearoj	Balearic Islands
Balengolfo	Walvis Bay
Baleno	Cetus
Balimeno	Ballymena
Balimonio	Ballymoney
Balingrio	Ballingry
Balino	Ballina
Balintreo	Ballintrae
Balio	Bali
Balivagano	Ballyvaghan
Balivodo	Rothesay
Baliŝanono	Ballyshannon
Balkanio	Balkan States
Balkano	Balkan Mountains, Balkans
Balkanoj	Balkans
Balkaŝo	Balkhash, Balqash
Baloĥo	Balloch
Balta	Baltic
Balta Maro	Baltic Sea
Balta-Slava	Balto-Slavic, Balto-Slavonic
Baltiko	Baltic Sea
Balto	Baltic
Banaĥo	Banach
Bandamaro	Banda Sea
Bangladeŝo	Bangladesh
Bangoro	Bangor, Bangor Erris
Bankoko	Bangkok
Bantrio	Bantry
Banvo	Banff
Banĝulo	Banjul
Barato	India
Barbado	Barbados
Barbadoso	Barbados
Barbario	Barbary
Barbra	Barbara
Barbro	Barbara
Barcelono	Barcelona
Bardzdalo	Bardsdale
Barejno	Bahrain
Barenca Maro	Barentsz Sea
Barencmaro	Barents Sea
Barita Mozo	Dammed Meuse
Barnabaso	Barnabas
Barnabo	Barnabas
Bartolomea Nokto	Massacre of Saint Bartholomew
Bartolomeo	Bartolomew
Basro	Basrah
Batava Respubliko	Batavian Republic
Batavio	Batavia
Batuo	Batu
Bavario	Bavaria
Bavarujo	Bavaria
Bazelo	Basel, Basle
Baziko	Basic
Baĉano	Bachan
Baĥo	Bacchus
Baĥrajno	Bahrein / Bahrain
Baŝo	bash (shell)
Beatrico	Beatrice
Bedaŭri	Sorry (to be sorry about...)
Behemoto	behemoth
Bejruto	Beirut
Bejsiko	BASIC
Belfasto	Belfast
Belfegoro	Belfagor Arcidiavolo (a novella by Niccolò Machiavelli)
Belgio	Belgium
Belgo	a Belgian
Belgrado	Belgrade
Belgujo	Belgium
Beligi	to embellish
Belizo	Belize
Belmopano	Belmopan
Belmuleto	Belmullet
Belo	Bell
Belono	Bellona
Belorusio	Byelorussia, White Russia
Beloruslando	Byelorussia, White Russia
Belorusujo	Belarus, Byelorussia, White Russia
Benbekulo	Benbecula
Benedikto	Ben, Benedict
Benelukso	Benelux
Bengala Golfo	Bay of Bengal
Bengalio	Bengal
Bengalujo	Bengal
Benino	Benin
Benjameno	Benjamin
Beogrado	Belgrade
Beotio	Beotia, Boeotia
Beotujo	Beotia, Boeotia
Beovulfo	Beowulf
Berberio	Barbary
Berberujo	Barbery
Berenica Hararo	Coma Berenices
Beringa	Bering
Beringa Markolo	Bering Strait
Beringa Maro	Bering Sea
Beringo	Bering
Beringomaro	Bering Sea
Berlino	Berlin
Bermudo	Bermuda
Bermudoj	Bermudas
Bernano	Bernese
Bernerajo	Berneray
Berno	Bern, Berne
Berviko	Berwick
Berviko ĉe la Tvido	Berwick upon Tweed
Berĥeno	Mons
Bes	si (flat)
Besarabio	Bessarabia
Besarabujo	Bessarabia
Betihilo	Bettyhill
Betleĥemo	Bethlehem
Bezier-kurbo	Bezier curve
Bezier-surfaco	Bezier surface
Bharato	India
Biblia	biblical
Bibliaĵo	bible quote, saying from the Bible
Biblio	Bible
Birkenhedo	Birkenhead
Birminhamo	Birmingham
Birmo	Burma
Bisaŭo	Bissau
Biskajio	Biscay
Biskajujo	Biscay
Bizanca Imperio	Byzantine Empire
Bizancio	Byzantium
Bizanco	Byzantium
Bjalistoko	Białystok (Poland)
Bjelorusio	White Russia
Bjelorusujo	White Russia
Blakpulo	Blackpool
Blanka Insulo	White Island
Blanka Maro	White Sea
Blanka Nilo	White Nile
Blanka Voltao	White Volta
Blaratolo	Blair Atholl
Blua Nilo	Blue Nile
Blua Rivero	Chang Jiang, Yangtze Kiang
Blubarbo	Bluebeard
Blubarbulo	Bluebeard
Bludento	Bluetooth
Boacolago	Reindeer Lake
Bocvano	Bechuanaland, Botswana
Bodenlago	Bodensee, Constance / Lake Constance
Boformaro	Beaufort Sea
Bogoto	Bogota
Bohemio	Bohemia
Bohemo	bohemian
Bohemujo	Bohemia
Bohidro	Balquhidder
Bolivio	Bolivia
Bombajo	Bombay
Bombejo	Bombay
Bonaero	Buenos Aires
Bonan matenon!	Good morning!
Bonan nokton!	Good night!
Bonan posttagmezon!	Good afternoon
Bonan tagon	Good day!
Bonan versperon!	Good evening!
Bonan ŝancon	Good luck!
Bonege!	Excellent!
Bonespera Kabo	Cape of Good Hope
Bonito	Bonita
Bonno	Bonn
Bordozo	Bourdeaux
Boreala Krono	Corona Borealis
Borelo	Borel
Borglono	Looz
Borneo	Borneo
Bosnio	Bosnia
Bosnio kaj Hercegovino	Bosnia and Herzegovina
Bosnio-Hercegovino	Bosnia-Hercegovina / Bosnia-Herzegovina
Bosnujo	Bosnia
Bosnujo kaj Hercegovino	Bosnia and Herzegovina
Bosporo	Bosporus
Bostono	Boston
Botna Golfo	Gulf of Bothnia
Bovisto	Boötes
Bovo	Taurus
Bovoviro	Minotaur
Brabanto	Brabant
Bramaputro	Bramaputra
Bramo	Brahma (Hindu god)
Bramoputro	Brahmaputra
Bratislavo	Bratislava
Brave!	Bravo!
Brazilano	Brazilian
Brazilo	Brazil
Brejo	Bray
Bremara Distrikto	Braemar
Bremaro	Braemar
Bretonio	Bretagne, Brittany
Bretonujo	Bretagne, Brittany
Bridlintono	Bridlington
Brisbejno	Brisbane
Bristola Markolo	Bristol Channel
Bristolo	Bristol
Brita Esperantista Asocio	British Esperanto Association, BEA
Brita Hindoceana Teritorio	British Indian Ocean Territory
Brita Insularo	British Islands
Brita Kolombio	British Columbia
Britaj Insuloj	British Isles
Britaj Virgulinaj Insuloj	British Virgin Islands
Britaj Virgulininsuloj	British Virgin Islands
Britio	Britain, Great Britain
Britujo	Britain, Great Britain
Brodiko	Brodick
Bronza Epoko	Bronze Age
Broro	Brora
Brugo	Bruges
Brunajo	Brunei
Brunejo	Brunei
Brunhildo	Brunhild, Bruennhilde
Bruno	Bruno
Brunsviko	Brunswick
Bruselo	Brussels
Bruto	Brutus
Bruĝo	Bruges
Budao	Buddha
Budapeŝto	Budapest
Buddo	Buddha
Budho	Buddha
Bugo	Bug
Bukareŝto	Bucharest
Bukureŝto	Bucharest
Bulea	Boolean, logical
Bulea adicio	disjunction, OR
Bulea algebro	Boolean algebra
Bulea datumtipo	Boolean data type
Bulea esprimo	Boolean expression
Bulea funkcio	Boolean function
Bulea operacio	Boolean operator
Bulea serĉo	Boolean search
Bulea valoro	Boolean value
Buleo	Boole
Bulgario	Bulgaria
Bulgaro	Bulgarian
Bulgarujo	Bulgaria
Bulo	Buhl
Burdegalo	Bordeaux
Burghedo	Burghead
Burgonjo	Burgundy
Burgoponto	Boroughbridge
Burgundio	Burgundy
Burgundujo	Burgundy
Burjatujo	Buryatia
Burkinafaso	Upper Volta / Burkina Faso
Burkino	Burkina Faso
Burmo	Burma
Burundio	Burundi
Burundo	Burundi
Butano	Bhutan
Buto	Bute
Buvetinsulo	Bouvet Island
Buĥoro	Bukhara, Buxoro
Cato la pli aĝa	Cato the Elder
Cefanja	Zephaniah
Cefeo	Cepheus
Cejlono	Ceylon
Celebesmaro	Celebes Sea
Celebeso	Celebes
Celesteno	Celestine
Celsio	Celsius
Celsiuso	Celsius
Celzio	Celsius
Cenomano	Cenomanium, Cenomanian
Centeŭropo	Central Europe
Centrafrika Respubliko	Central African Republic
Centrafriko	Central African Republic / Central Africa(n Republic)
Centrameriko	Central America
Centroburgo	Middlesbrough
Cerbero	Cerberus
Cereso	Ceres
Cezaro	Caesar
Character set	ASCII
Cibelo	Cybele
Cicero	Cicero
Cicerono	Cicero
Cigno	Cygnus
Cikladoj	Cyclades
Cindra Merkredo	Ash Wednesday
Cindromerkredo	Ash Wednesday
Cindrulino	Cinderella
Cionismo	Zionism
Ciono	Zion
Cipro	Cyprus
Cirilo	Cyril
Cirkelo	Circinus
Cisjordanio	West Bank
D-kordo	D-chord
D-ro	Doktoro
D-trajno	corridor train, corridor-train
DAT-kasedbendo	DAT cassette
DAT-kasedo	DAT cassette
DAT-magnetofono	DAT machine, DAT recorder
DHCP-efikigado	DHCP enforcement
DHCP-kliento	DHCP client
DHCP-servilo	DHCP server
DLL-risurco	resource DLL
DNA	DNA / dna
DNS-kliento	DNS client
DNS-servilo	DNS server
DNS-sufikso	DNS suffix
DVD-disko	DVD, Digital Versatile Disk, Digital Video Disk
DVD-ludilo	DVD player
DVD-spektilo	DVD player
Dafno	Daphne
Dagestano	Dagestan, Daghestan
Dagono	Dagon
Dahomeo	Dahomey
Dajreno	Dalian (Chinese city)
Dakaro	Dakar
Dakko	Dacca
Dako	Dacca
Dalai-Lamao	Dalai Lama
Dalajlamao	Dalai Lama
Dalaso	Dallas
Dalekarlio	Dalecarlia
Dalketo	Dalkeith
Dalmacio	Dalmatia
Dalmacujo	Dalmatia
Dalmalo	Dalmally
Dalmatio	Dalmatia
Dalmatujo	Dalmatia
Daltono	Dalton
Dalvino	Dalwhinnie
Damaskano	Damascus (capital of Syria)
Damasko	Damascus
Damiano	Damian, Damien (male name)
Damokleso	Damocles
Damoklo	Damocles
Dana Markolo	Denmark Strait
Danae	Danae (mythology)
Danio	Denmark
Dankofesto	Thanksgiving Day
Dankon	Thank you, thanks
Danlando	Denmark
Dano	a Dane
Danubo	Danube River
Danujo	Denmark
Danuo	Don
Dardanelo	Dardanelle
Dardaneloj	Dardanelles
Darlintono	Darlington
Darvino	Darwin
Davido	David
Daŭdeĝingo	Tao Te Ching
Decembro	December
Dedekindo	Dedekind
Dejmo	Deimos
Dekkano	Deccan
Del.	Delegito
Delavario	Delaware
Delavaro	Delaware
Delfeno	Delphinus
Delfio	Delphi
Delfo	Delphi
Delfto	Delft
Delhio	Delhi
Demetro	Demeter
Demorganaj leĝoj	de Morgan’s laws
Dependas de tio, ĉu	It depends on whether
Derbio	Derby
Derio	Derry, Londonderry
Devonio	Devonian
Devono	Devon, Devonian period
Dia volo	God’s will
Diabla Insulo	Devil’s Island
Diano	Diana
Dikfingrulo	Tom Thumb
Diksilando	Dixie, Dixieland
Diluvio	Diluvium
Dinbiĥo	Denbigh
Dinglo	Dingle
Dingvalo	Dingwall
Dio	God
Dio benu vin	God bless you
Diogeno	Diogenes
Dionizo	Dionysus
Dioservo	divine service
Dipatrino	Mother of God
Dirako	Dirac
Dnepro	Dnieper
Dobroĝo	Dobruja
Dolbio	Dolby
Dolomitoj	Dolomites
Dolĉe!	Take it easy!
Domaĝe	That’s too bad, What a pity
Domingo	Dominican Republic
Dominika Respubliko	Dominican Republic
Dominikanio	Dominican Republic
Dominikio	Dominican Republic
Dominiko	Dominic, Dominica
Donegalo	Donegal
Donjeco	Donetz
Donjuano	Don Juan, woman chaser
Donkastro	Doncaster
Donĵuano	Don Juan, woman chaser
Dorio	Doris
Dornorozeto	the Sleeping Beauty
Dornorozulino	Sleeping Beauty
Dornoĥo	Dornoch
Dosonkriko	Dawson Creek
Dovero	Dover
Drakmontaro	Drakensberg Mountains
Drako	Draco
Dravo	Drava
Drogedo	Drogheda
Drumnadroĥito	Drumnadrochit
Dublino	Dublin
Duglaso	Douglas
Dukbosko	Bois-le-Duc
Dumbartono	Dumbarton
Dumfriso	Dumfries
Dunblano	Dunblane
Dundalko	Dundalk
